company_name,industry,tier,Location-1,Location-2
lg soft india ,IT,,,
lg soft india pvt. ltd. ,IT,,,
linc software services pvt. ltd. ,IT,,,
liqwid krystal india pvt ltd ,IT,,,
logica ,IT,,,
login infotech private limited ,IT,,,
logix microsystems ltd ,IT,,,
mindtree consulting pvt. ltd. ,IT,,,
mistral solutions pvt. ltd. ,IT,,,
navayuga infotech pvt. ltd. ,IT,,,
nelito systems limited ,IT,,,
neoit.com pvt ltd ,IT,,,
neosoft technologies pvt ltd ,IT,,,
netgalactic ,IT,,,
network appliance systems (india) pvt ltd ,IT,,,
newgen software technologies ltd ,IT,,,
next link (p) ltd ,IT,,,
nich - in software solutions pvt. ltd. ,IT,,,
nirvana business solutions pvt ltd ,IT,,,
nous infosystems pvt ltd ,IT,,,
novell software development (i) ltd ,IT,,,
novell software development (india) ltd ,IT,,,
numark software pvt. ltd. ,IT,,,
nvidia graphics pvt ltd ,IT,,,
objectwin technology india pvt ltd ,IT,,,
omnesys technologies pvt ltd ,IT,,,
optimus outsourcing company ltd ,IT,,,
oracle india pvt ltd ,IT,,,
perot systems tsi (india) ltd ,IT,,,
persistent systems pvt. ltd. ,IT,,,
pharmarc analytic solutions pvt ltd ,IT,,,
phoenix global solutions india pvt. ltd. ,IT,,,
picopeta simputers pvt ltd ,IT,,,
pramati technologies (p) limited ,IT,,,
pricewaterhousecoopers pvt ltd ,IT,,,
progress software development pvt ltd ,IT,,,
proteans software solutions pvt ltd ,IT,,,
prudente solution pvt ltd ,IT,,,
psi data systems ltd. ,IT,,,
ptc software (india) pvt ltd ,IT,,,
pyramid it consulting pvt ltd ,IT,,,
quality engineering and software technologies pvt ltd ,IT,,,
quantum-link communications pvt ltd ,IT,,,
quintegra solutions ltd. ,IT,,,
radiant infosystems (p) ltd ,IT,,,
ram informatics ltd. ,IT,,,
rapidigm (india) limited ,IT,,,
rational software corporation (india) pvt. ltd. ,IT,,,
reach sewn technologies & consulting pvt. ltd. ,IT,,,
real soft (intl) pvt ltd ,IT,,,
realtime techsolutions pvt ltd ,IT,,,
red hat india pvt ltd ,IT,,,
regus business centre (bangalore) pvt ltd ,IT,,,
relq software pvt ltd ,IT,,,
repcol (india) pvt ltd ,IT,,,
robert bosch india ltd ,IT,,,
rolta india ltd. ,IT,,,
last mile consultants technology solutions pvt ltd,IT,,,
leachi enterprises,IT,,,
lenvica computer solutions pvt ltd,IT,,,
levin software technologies,IT,,,
ligature software pvt ltd,IT,,,
live web solutions,IT,,,
logesys solutions india pvt ltd,IT,,,
macnsys,IT,,,
maktree software solution pvt. ltd,IT,,,
mangium infotech pvt ltd,IT,,,
mansoft technologies pvt ltd,IT,,,
mentor labs,IT,,,
mentorware india pvt ltd,IT,,,
minds2mentor technology pvt ltd,IT,,,
moksha digital,IT,,,
mpowerglobal,IT,,,
multunus software,IT,,,
mywavia studios pvt ltd,IT,,,
nano kernel ltd,IT,,,
neev information technology,IT,,,
neologik india,IT,,,
ness technologies,IT,,,
nettwen technologies,IT,,,
nichepro consulting llc,IT,,,
nichi-in software solutions pvt ltd,IT,,,
niecom international bg pvt ltd,IT,,,
niovo it consultants & solutions,IT,,,
nlp labs pvt ltd,IT,,,
nuevo network,IT,,,
om kar soft,IT,,,
optotech systems,IT,,,
osprosys software (p) ltd,IT,,,
pacificsolutions,IT,,,
peertone technologies,IT,,,
peopleplus professional services,IT,,,
permeative technologies,IT,,,
pioneer ct,IT,,,
pragna technologies,IT,,,
priority software solutions,IT,,,
productiva it solutions,IT,,,
prolific minds professional services,IT,,,
purpleframe technologies pvt ltd,IT,,,
qcon,IT,,,
qsit pvt ltd,IT,,,
raise solutions pvt ltd,IT,,,
ram genex technologies pvt ltd,IT,,,
reignsoft solutions,IT,,,
replicon software,IT,,,
rishi systems pvt limited,IT,,,
riverdale software solutions pvt ltd,IT,,,
ronanki infotech pvt ltd,IT,,,
ryan info tech pvt ltd,IT,,,
s r consultants,IT,,,
sakhatech information technologies,IT,,,
sap recruit,IT,,,
satmetrix,IT,,,
satya technological solutions,IT,,,
sdsoft solutions (india) pvt ltd,IT,,,
seajin technology,IT,,,
shakthi resource,IT,,,
sharaan infosystems,IT,,,
shikshainfotech,IT,,,
simpragma solutions pvt ltd,IT,,,
skelta software,IT,,,
slk software,IT,,,
snyxius technologies,IT,,,
softwareshouse,IT,,,
source(n) india pvt ltd,IT,,,
sourceedge software technologies pvt ltd,IT,,,
spherehead communications (p) ltd,IT,,,
sr bizsciences,IT,,,
sriva technologies,IT,,,
sts research,IT,,,
studio greenand software design (p) ltd,IT,,,
suksh technology pvt ltd,IT,,,
sumeru software solutions pvt ltd,IT,,,
synapse infonet,IT,,,
synova innovation technologies,IT,,,
systems,IT,,,
s r nova pvt ltd ,IT,,,
saastha infotech pvt ltd ,IT,,,
sage design systems (india) pvt ltd ,IT,,,
sampoorna matchjobs.com pvt ltd ,IT,,,
samsung electronics india software operations (siso) ,IT,,,
samsung sds co ltd. ,IT,,,
sanyo lsi technology india pvt. ltd. ,IT,,,
sap india pvt. ltd ,IT,,,
sapient corporation pvt ltd ,IT,,,
sarnoff innovative technologies pvt ltd ,IT,,,
sasken communication technologies limited ,IT,,,
satellite infotech services pvt ltd ,IT,,,
science applications international corporation (saic) - india branch office ,IT,,,
sct software solutions (india) pvt ltd ,IT,,,
seaton india it pvt ltd ,IT,,,
sequoia capital india advisors pvt ltd ,IT,,,
silver software pvt ltd ,IT,,,
simplex solutions ,IT,,,
siri technologies pvt ltd ,IT,,,
skelta software pvt ltd ,IT,,,
slk software services pvt ltd ,IT,,,
sobha renaissance information technology pvt ltd ,IT,,,
societe generale global solution centre pvt ltd ,IT,,,
softpro systems ltd ,IT,,,
software data (india) ltd ,IT,,,
software quality center pvt ltd ,IT,,,
solutionnet india pvt ltd ,IT,,,
sonata software limited ,IT,,,
sonata software ltd. ,IT,,,
speck systems limited ,IT,,,
spike technologies india pvt. ltd ,IT,,,
srishti software private limited ,IT,,,
stag software pvt ltd ,IT,,,
subex systems ltd ,IT,,,
subex systems ltd ,IT,,,
sun microsystems india pvt. ltd. ,IT,,,
supportsoft india pvt ltd ,IT,,,
svb india advisors pvt ltd ,IT,,,
swiss re shared services (india) pvt ltd ,IT,,,
sybase software (india) pvt ltd ,IT,,,
sykes enterprises (india) private limited ,IT,,,
symbol technologies india pvt ltd ,IT,,,
symphony services corp. (i) pvt ltd ,IT,,,
synergia consultants pvt ltd ,IT,,,
synopsys (india) private limited ,IT,,,
syntax soft-tech india pvt ltd ,IT,,,
syntel india ltd ,IT,,,
syntel ltd ,IT,,,
systime computer systems (i) pvt. ltd. ,IT,,,
techeves it solutions pvt ltd,IT,,,
techgate technol,ogies,IT,,
technoinfoware india pvt. ltd.,IT,,,
technovision,IT,,,
tecknodreams software consulting pvt ltd,IT,,,
teclever solutions,IT,,,
tellus solutions,IT,,,
