company_name,industry,tier
india insure risk management services pvt ltd,IT,3
india prepaid services pvt ltd,IT,3
india satcom ltd.,IT,3
infineon technologies india pvt ltd,IT,2
infineon technologies r&d centre,IT,2
infinite computer solutions (india) pvt ltd,IT,3
infopac software pvt. ltd.,IT,3
information technology park ltd,IT,3
infosys technologies ltd,IT,2
inknowtech private limited,IT,3
integra techsoft pvt. ltd.,IT,3
integrated property management & services ltd,IT,3
"intel asia electronics, Inc",IT,1
intercope (india) pvt. ltd,IT,3
intersoftkk (india) pvt ltd,IT,3
interwoven software services india pvt ltd,IT,3
intuit technology services pvt ltd,IT,1
ionic microsystems pvt. ltd,IT,3
ionidea enterprise solutions pvt ltd,IT,3
ishoni networks,IT,3
itc infotech india ltd,IT,2
iteamic pvt ltd,IT,3
itti limited,IT,3
itti pvt. ltd,IT,3
ivl india pvt ltd,IT,3
i-link software private limited,IT,3
icube logics (i) pvt ltd,IT,3
ind global consultancy solutions,IT,3
indium global services,IT,3
inflexion,IT,3
info 2 day,IT,3
infosat datalink services pvt ltd,IT,3
innosoft datalinks private limited,IT,3
innovature technologies,IT,3
innovays technologies,IT,3
iq software services p ltd,IT,3
isleen solutions pvt ltd,IT,3
isoke technologies & services pvt ltd,IT,3
isqt process & consulting services pvt ltd,IT,3
iterum healthcare technologies,IT,3
itriangle infotech private limited,IT,3
ixplore solutions,IT,3
jbk infotech pvt ltd,IT,3
jmj technologies,IT,3
jobsolutions4all,IT,3
kartel technologies,IT,3
kenspeckle infosystems pvt ltd,IT,3
keystone logic solutions pvt ltd,IT,3
kloc technologies,IT,3
knowledge varsity,IT,3
knowx innovations pvt ltd,IT,3
kurios theles business solutions (india) pvt ltd,IT,3
kyrus technologies llp,IT,3
j235 software india pvt ltd,IT,3
kinfotech private limited,IT,3
klg systel ltd,IT,3
kmg infotech pvt ltd ,IT,2
kpmg advisory services private limited ,IT,2
krone communications ltd.,IT,3
larsen & toubro infotech limited,IT,2
lec india software centre pvt. ltd,IT,3
lg soft india,IT,2
lg soft india pvt. ltd.,IT,2
linc software services pvt. ltd.,IT,2
liqwid krystal india pvt ltd,IT,3
logica,IT,2
login infotech private limited,IT,3
logix microsystems ltd,IT,3
mindtree consulting pvt. ltd.,IT,2
mistral solutions pvt. ltd.,IT,3
navayuga infotech pvt. ltd.,IT,3
nelito systems limited,IT,3
neoit.com pvt ltd,IT,3
neosoft technologies pvt ltd,IT,3
netgalactic,IT,3
network appliance systems (india) pvt ltd,IT,3
newgen software technologies ltd,IT,3
next link (p) ltd,IT,3
nich - in software solutions pvt. ltd.,IT,3
nirvana business solutions pvt ltd,IT,3
nous infosystems pvt ltd,IT,2
novell software development (i) ltd,IT,1
novell software development (india) ltd,IT,1
numark software pvt. ltd.,IT,3
nvidia graphics pvt ltd,IT,1
objectwin technology india pvt ltd,IT,3
omnesys technologies pvt ltd,IT,3
optimus outsourcing company ltd,IT,3
oracle india pvt ltd,IT,1
perot systems tsi (india) ltd,IT,2
persistent systems pvt. ltd.,IT,3
pharmarc analytic solutions pvt ltd,analytics,2
phoenix global solutions india pvt. ltd.,IT,3
picopeta simputers pvt ltd,IT,3
pramati technologies (p) limited,IT,3
progress software development pvt ltd,IT,3
proteans software solutions pvt ltd,IT,3
prudente solution pvt ltd,IT,3
psi data systems ltd.,IT,3
ptc software (india) pvt ltd,IT,3
pyramid it consulting pvt ltd,IT,3
quality engineering and software technologies pvt ltd,IT,3
quantum-link communications pvt ltd,IT,3
quintegra solutions ltd.,IT,3
radiant infosystems (p) ltd,IT,3
ram informatics ltd.,IT,3
rapidigm (india) limited,IT,3
rational software corporation (india) pvt. ltd.,IT,3
reach sewn technologies & consulting pvt. ltd.,IT,3
real soft (intl) pvt ltd,IT,3
