query,name,website,overallRating,industry,numberOfRatings
Pylon Management Consulting Pvt. Ltd.,Pylon Management Consulting,www.pylonmc.com,1.0,Staffing & Outsourcing,14
Aim Technical and Management Services Pvt Ltd,AIM,www.americanimaging.net,2.9,Insurance Agencies & Brokerages,22
R.K. International,R K Swamy BBDO,www.rkswamybbdo.com,3.4,Advertising & Marketing,14
iProf Learning Solutions India Pvt. Ltd.,iProf,www.iprofindia.com,2.0,Computer Hardware & Software,11
Recruise hiring for Assistant Manager- Credit Risk Management Strategy,Recruise India,www.recruiseindia.com,1.0,Staffing & Outsourcing,5
Lobo Staffing Solutions Pvt Ltd,Lobo Staffing Solutions,www.lobostaffing.com,1.0,Staffing & Outsourcing,3
Pylon Management Consulting Pvt Ltd,Pylon Management Consulting,www.pylonmc.com,1.0,Staffing & Outsourcing,14
Strategic Analysis India Pvt Ltd,Strategic Analysis India,www.strategicanalysis.com,2.0,Consulting,8
,Accenture,www.accenture.com,3.6,Consulting,13743
,IBM,www.ibm.com,3.2,Consulting,16729
,Capgemini,www.capgemini.com,3.2,Consulting,3362
,Genpact,www.genpact.com,3.2,Consulting,1502
,EY,www.ey.com,3.7,Consulting,7390
,Mu Sigma,www.mu-sigma.com,3.4,Consulting,919
,CGI,www.cgi.com,3.2,Consulting,2122
,ZS Associates,www.zsassociates.com,3.6,Consulting,733
,Capgemini Business Services India,www.in.capgemini.com,3.1,Consulting,345
,Exl Service,www.exlservice.com,2.9,Consulting,429
,CapitalVia,www.capitalvia.com,3.9,Financial Analytics & Research,491
,CRISIL,www.crisil.com,3.1,Financial Analytics & Research,309
,Ocwen Financial,www.ocwen.com,2.5,Financial Analytics & Research,302
,Aranca,www.aranca.com,3.2,Financial Analytics & Research,66
,MSCI,www.msci.com,2.9,Financial Analytics & Research,372
,Morningstar,www.morningstar.com,3.5,Financial Analytics & Research,393
,Encore Capital Group,www.encorecapital.com,3.1,Financial Analytics & Research,95
,SNL Financial,www.snl.com,3.4,Financial Analytics & Research,170
,Capstone Securities,www.capstonesa.com,3.3,Financial Analytics & Research,30
,Dun & Bradstreet,www.dnb.com,3.4,Financial Analytics & Research,433
,Tata Consultancy Services,www.tcs.com,3.3,Computer Hardware & Software,13296
,Infosys,www.infosys.com,3.4,IT Services,12677
,Cognizant Technology Solutions,www.cognizant.com,3.5,IT Services,9300
,Wipro,www.wipro.com,3.2,Accounting,6665
,IBM India,www.ibm.co.in,3.4,IT Services,3165
,Tech Mahindra,www.techmahindra.com,2.8,IT Services,2965
,Mindtree,www.mindtree.com,3.2,IT Services,1504
,Computer Sciences Corp,www.csc.com,2.6,IT Services,4066
,Genpact,www.genpact.com,3.2,Consulting,1502
,IGATE,www.igate.com,3.0,IT Services,1643
,Tata Consultancy Services,www.tcs.com,3.3,Computer Hardware & Software,13296
,HCL Technologies,www.hcltech.com,3.1,Computer Hardware & Software,4821
,Hewlett-Packard,www.hp.com,3.3,Computer Hardware & Software,13458
,Cisco Systems,www.cisco.com,3.7,Computer Hardware & Software,7864
,MphasiS,www.mphasis.com,3.1,Computer Hardware & Software,1421
,Microsoft,www.microsoft.com,3.8,Computer Hardware & Software,11628
,Samsung India Software Operations,www.samsungindiasoft.com,2.6,Computer Hardware & Software,730
,SAP,go.sap.com,3.8,Computer Hardware & Software,2982
,Adobe,www.adobe.com,3.9,Computer Hardware & Software,1734
,HCL Infosystems,www.hclinfosystems.com,3.0,Computer Hardware & Software,471
,J.P. Morgan,www.jpmorganchase.com,3.5,Investment Banking & Asset Management,7083
,Goldman Sachs,www.goldmansachs.com,3.8,Investment Banking & Asset Management,2561
,Altisource,www.altisource.com,2.4,Investment Banking & Asset Management,497
,Fidelity Investments,www.fidelity.com,3.7,Investment Banking & Asset Management,2719
,Kotak Mahindra,www.kotak.com,2.9,Banks & Credit Unions,248
,Deutsche Bank,www.deutsche-bank.de,3.3,Investment Banking & Asset Management,1805
,Citibank,www.citibank.com,3.3,Investment Banking & Asset Management,2258
,JP Morgan India,www.jpmipl.com,3.5,Investment Banking & Asset Management,205
,Northern Trust,www.northerntrust.com,3.5,Banks & Credit Unions,774
,S&P Capital IQ,www.spcapitaliq.com,3.3,Investment Banking & Asset Management,399
,ICICI Bank,www.icicibank.com,3.1,Banks & Credit Unions,1099
,HSBC Holdings,www.hsbc.com,3.3,Banks & Credit Unions,3697
,HDFC Bank,www.hdfcbank.com,3.1,Banks & Credit Unions,659
,Royal Bank of Scotland,www.rbs.com,3.1,Banks & Credit Unions,1277
,State Bank of India,www.statebankofindia.com,3.4,Banks & Credit Unions,483
,Axis Bank,www.axisbank.com,3.0,Banks & Credit Unions,417
,Bank of America,www.bankofamerica.com,3.3,Banks & Credit Unions,10506
,Kotak Mahindra,www.kotak.com,2.9,Banks & Credit Unions,248
,Northern Trust,www.northerntrust.com,3.5,Banks & Credit Unions,774
,Wells Fargo,www.wellsfargo.com,3.3,Banks & Credit Unions,10406
24/7 inc,[24]7,www.247-inc.com,3.4,Advertising & Marketing,203
absolutdata,Absolutdata,www.absolutdata.com,2.8,Consulting,114
accenture,Accenture,www.accenture.com,3.6,Consulting,13869
airtel,Bharti Airtel,www.airtel.in,3.4,Telecommunications Services,430
amazon,Amazon.com,www.amazon.com,3.4,General Merchandise & Superstores,6674
amba research,Amba Research,www.ambaresearch.com,2.7,Investment Banking & Asset Management,68
ameriprise,Ameriprise,www.ameriprise.com,3.5,Investment Banking & Asset Management,792
analytics quotient,Analytics Quotient,www.aqinsights.com,3.1,Consulting,36
anz,Australia and New Zealand Banking,www.anz.com.au,3.5,Banks & Credit Unions,374
aol,AOL,corp.aol.com,3.5,News Outlet,864
bank of america,Bank of America,www.bankofamerica.com,3.3,Banks & Credit Unions,10588
barclays bank,Barclays,www.barclays.com,3.2,Investment Banking & Asset Management,982
bharatmatrimony.com,BharatMatrimony.com,www.bharatmatrimony.com,2.0,,0
boston analytics,Boston Analytics,www.bostonanalytics.com,2.7,Consulting,44
bravo lucy,Bravo Lucy,www.bravolucy.com,3.0,Enterprise Software & Network Solutions,12
bridgei2i analytics solutions,BRIDGEi2i,www.bridgei2i.com,2.0,Consulting,9
capital one,Capital One,www.capitalone.com,3.6,Banks & Credit Unions,2751
caterpillar,Caterpillar,www.caterpillar.com,3.4,Industrial Manufacturing,1323
citibank,Citibank,www.citibank.com,3.3,Investment Banking & Asset Management,2266
cognizant,Cognizant Technology Solutions,www.cognizant.com,3.5,IT Services,9349
cytel softwares,Cytel Inc,www.cytel.com,2.0,Computer Hardware & Software,6
dell,Dell,www.dell.com,3.4,IT Services,5672
deloitte,Deloitte,www.deloitte.com,3.7,Accounting,9957
dexterity,Dexterity,www.dexterity.in,2.0,Advertising & Marketing,2
diamond management consultants.,Diamond Management & Technology Consultants,www.diamondconsultants.com,3.3,Consulting,83
dun & bradstreet,Dun & Bradstreet,www.dnb.com,3.4,Financial Analytics & Research,433
dunnhumby,Dunnhumby,www.dunnhumby.com,3.4,Consulting,178
ebay,eBay,www.ebay.com,3.5,Internet,1585
equifax,Equifax,www.equifax.com,3.5,Financial Analytics & Research,407
fidelity,Fidelity Investments,www.fidelity.com,3.7,Investment Banking & Asset Management,2731
fractal analytics,Fractal Analytics,www.fractalanalytics.com,3.6,Consulting,288
ge money,GE,www.ge.com,3.7,Energy,3789
general mills,General Mills,www.generalmills.com,3.5,Food & Beverage Manufacturing,936
genpact,Genpact,www.genpact.com,3.2,Consulting,1513
global analytics,Global Analytics,www.global-analytics.com,3.7,Advertising & Marketing,73
