Rank,Name ,City
3,Gujarat Ayurved University,Jamnagar
3,Gujarat Vidyapith,Ahmedabad
3,Gulbarga University,Gulbarga
3,Guru Ghasidas University,Bilaspur
3,Guru Jambeshwar University,Hisar
3,Guru Nanak Dev University,Amritsar
3,Gurukula Kangri Vishwavidyalaya,Hardwar
3,Hemwati Nandan Bahuguna Garwhal University,Garhwal
3,Himachal Pradesh Krishi Vishva Vidyalaya,Palampur
3,Himachal Pradesh University,Shimla
3,Indian Agricultural Research Institute,New Delhi
3,Indira Gandhi Institute of Medical Sciences,Patna
3,Indira Gandhi Krishi Vishwavidyalaya,Raipur
3,Jai Narain Vyas University,Jodhpur
3,Jai Prakash Vishwa Vidyalaya,Chapra
3,Jain Vishva Bharati Institute,Ladnun
3,Jamia Hamdard,New Delhi
3,Jawaharlal Nehru krishi Vishwa Vidyalaya,Jabalpur
3,Jiwaji University,Gwalior
3,Kakatiya University,Warangal
3,Kameshwara Singh Darbhanga Sanskrit University,Darbhanga
3,Kannada University,kamalpur
3,Konkan Krishi Vidyapeeth,Dapoli
3,Kumaun University,Nainital
3,Kuvempu University,Shimoga
3,Lalit Narayan Mithila University,Darbhanga
3,Magadh University,Bodh
3,Maharashi Dayanand University,Rohtak
3,"Mahatma Gandhi Gramodya Vishwavidyalaya, Satna",Satna
3,"Mahatma Gandhi University, Kottayam",Kottayam
3,Mahatma Phule Krishi Vidyapeeth,Rahuri
3,Makhanlal Chaturvedi National University Institute of Journalism,Bhopal
3,Mangalore University,Mangalagangothri
3,Manipur University,Imphal
3,Marathwada Krishi Vidyapeeth,Parbhani
3,"Mohanlal Sukhadia University, Udaipur",Udaipur
3,Mother Teresa Women's University,"Kodaikanal, Madras (Chennai)"
3,Nagaland University,Kohima
3,Nagarjuna University,Guntur
3,"Narendra Deva University of Agriculture and Technology, Faizabad",Faizabad
3,North Gujarat University,Patan
3,North Maharashtra University,Jalgaon
3,"Pandit (Pt) Ravishankar Shukla University, Raipur",Raipur
3,punjabi University,Patiala
3,Punjabrao Krishi Vidyapeeth,Akola
3,Purvanchal (Poorvanchal) Univesity,Jaunpur
3,Rajasthan Vidyapeeth,Udaipur
3,Rajendra Agricultural University,Samastipur
3,"Rani Durgavati Vishwavidyalala, Jabalpur",jabalpur
3,Rashtriya Sanskrit Vidyapeetha,Tirupati
3,"Pandit (Pt) Ravishankar Shukla Univresity, Raipur",
3,Rohilkhand University,Bareilly
3,Sambalpur Univesity,Sambalpur
3,Saurashtra University,Rajkot
3,Sher-e-Kashmir University of Agricultural Sciences and Technology,Srinagar
3,Shivaji University,Kolhapur
3,Shri Jagannath Sanskrit Vishvavidyalaya,Puri
3,Siddhu Kanhu University,Dumka
3,South Gujarat University,Surat
3,Sree Sankaracharya University of Sanskrit ,Kaladi
3,Sri Krishnadevaraya University,Anantapur
3,Sri Padmavati Mahila Visvavidyalayam,Tirupati
3,Swami Ramanand Teerth Marathwada University,Nanded
3,Tamil University,Thanjavur
3,Telugu University,Hyderabad
3,Tezpur University,Tezpur
3,Tripura University,Agartala
3,University of Agricultural Sciences,Dharwad
3,"Maharashi Dayanand Saraswati University, Ajmer",
3," Maharaja Sayajirao University, Baroda",Baroda
3,Babasaheb Bhimrao Ambedkar Bihar University,
3,University of Gorakhpur,Gorakhpur
3,"University of Health Sciences, Andhra Pradesh",
3,"Devi Ahila Vishwavidyalaya, Indore",
3,"Rani Durgavati Vishwavidyalala, Jabalpur",
3,University of Kashmir,
3,University of Jammu,Jammu
3,"Jai Narain Vyas University, Jodhpur",
3,University of North Bengal,Siliguri
3,"Mohanlal Sukhadia University, Udaipur",
3,Veer Kunwar Singh University,Arrah 
3,Vidyasagar University,Midnapore
3,Vikram University,Ujjain
3,Vinoba Bhave University,Hazaribag
3,West Bengal University of Animal & Fishery Science,Calcutta
4,Dr B R (Bhimrao Ramji) Ambedkar Open University,Hyderabad
4,Dr Babasaheb Ambedkar Open University,Ahmedabad
4,Kota Open University,"Kota Madhya Pradesh Bhoj [Open] University, Bhopal"
4,Nalanda Open University,Patna
4,Yashwantrao Chavan Maharashtra Open University,Nashik
5,Arya University,"Srinagar, J&K"
5,Bharatiya Shiksha Parishad,"Lucknow, UP"
5,Bible University,"Ambur, North Arcot, Tamil Nadu"
5,Commercial University,"Daryaganj, Delhi"
5,DDB Sanskrit University,"Puttur, Trichi, Tamil Nadu"
5,Eastern Orthodox University,"Ambur, North Arcot, Tamil Nadu"
5,Gandhi Hindi Vidyapith,"Prayag, Allahabad, UP"
5,Globe University of Science,"Kumakonam, Tamil Nadu"
5,Indian Education Council of UP,"Lucknow, UP"
5,Maharana Pratap Shiksha Niketan Vishwavidyalaya,"Pratapgarh, UP"
5,Mahila Gram Vidyapith/ Vishwavidyalaya,"Prayag, Allahabad, UP"
5,Maithili University/Viswavidyalaya,"Darbhanga, Bihar"
5,National University,"Nagpur, Maharashtra"
5,National University of Electro Complex Homeopathy,"Kanpur, UP"
5,Netaji Subhash Chandra Bose [Open] University,"Achaltal, Aligarh, UP"
5,Open Vishwavidyalaya,"Lucknow, UP"
5,Raja Arabic University,"Nagpur, Maharashtra"
5,Shrimati Mahadevi Varma Open University,"Mughal Srai, UP"
5,St John's University,"Kishanattam, Kerala"
5,Testator Research University,"Bodinayakanur, Tamil Nadu"
5,United Nations University,Delhi
5,Urdu University,"Motia Park, Bhopal, Madhya Pradesh"
5,Uttar Pradesh Vishwavidyalaya,"Kosi Kalan, Mathura, UP"
5,Varanaseya Sanskrit Vishwavidyalaya,"Varanasi, UP"
5,Vocational University,Delhi
